"","year","state","month","number","date"
"1561",2003,"Distrito Federal","jul",19,"2003-01-01"
"1562",2004,"Distrito Federal","jul",37,"2004-01-01"
"1563",2005,"Distrito Federal","jul",24,"2005-01-01"
"1564",2006,"Distrito Federal","jul",10,"2006-01-01"
"1565",2007,"Distrito Federal","jul",25,"2007-01-01"
"1566",2008,"Distrito Federal","jul",12,"2008-01-01"
"1567",2009,"Distrito Federal","jul",33,"2009-01-01"
"1568",2010,"Distrito Federal","jul",85,"2010-01-01"
"1569",2011,"Distrito Federal","jul",53,"2011-01-01"
"1570",2012,"Distrito Federal","jul",29,"2012-01-01"
"1571",2013,"Distrito Federal","jul",22,"2013-01-01"
"1572",2014,"Distrito Federal","jul",27,"2014-01-01"
"1573",2015,"Distrito Federal","jul",15,"2015-01-01"
"1574",2016,"Distrito Federal","jul",79,"2016-01-01"
"1575",2017,"Distrito Federal","jul",44,"2017-01-01"
"1576",1998,"Distrito Federal","aug",48,"1998-01-01"
"1577",1999,"Distrito Federal","aug",16,"1999-01-01"
"1578",2000,"Distrito Federal","aug",9,"2000-01-01"
"1579",2001,"Distrito Federal","aug",25,"2001-01-01"
"1580",2002,"Distrito Federal","aug",53,"2002-01-01"
"1581",2003,"Distrito Federal","aug",36,"2003-01-01"
"1582",2004,"Distrito Federal","aug",108,"2004-01-01"
"1583",2005,"Distrito Federal","aug",20,"2005-01-01"
"1584",2006,"Distrito Federal","aug",40,"2006-01-01"
"1585",2007,"Distrito Federal","aug",137,"2007-01-01"
"1586",2008,"Distrito Federal","aug",30,"2008-01-01"
"1587",2009,"Distrito Federal","aug",37,"2009-01-01"
"1588",2010,"Distrito Federal","aug",159,"2010-01-01"
"1589",2011,"Distrito Federal","aug",61,"2011-01-01"
"1590",2012,"Distrito Federal","aug",55,"2012-01-01"
"1591",2013,"Distrito Federal","aug",34,"2013-01-01"
"1592",2014,"Distrito Federal","aug",99,"2014-01-01"
"1593",2015,"Distrito Federal","aug",53,"2015-01-01"
"1594",2016,"Distrito Federal","aug",29,"2016-01-01"
"1595",2017,"Distrito Federal","aug",147,"2017-01-01"
"1596",1998,"Distrito Federal","sep",33,"1998-01-01"
"1597",1999,"Distrito Federal","sep",12,"1999-01-01"
"1598",2000,"Distrito Federal","sep",3,"2000-01-01"
"1599",2001,"Distrito Federal","sep",12,"2001-01-01"
"1600",2002,"Distrito Federal","sep",33,"2002-01-01"
"1601",2003,"Distrito Federal","sep",17,"2003-01-01"
"1602",2004,"Distrito Federal","sep",100,"2004-01-01"
"1603",2005,"Distrito Federal","sep",23,"2005-01-01"
"1604",2006,"Distrito Federal","sep",20,"2006-01-01"
"1605",2007,"Distrito Federal","sep",73,"2007-01-01"
"1606",2008,"Distrito Federal","sep",54,"2008-01-01"
"1607",2009,"Distrito Federal","sep",5,"2009-01-01"
"1608",2010,"Distrito Federal","sep",196,"2010-01-01"
"1609",2011,"Distrito Federal","sep",133,"2011-01-01"
"1610",2012,"Distrito Federal","sep",64,"2012-01-01"
"1611",2013,"Distrito Federal","sep",31,"2013-01-01"
"1612",2014,"Distrito Federal","sep",72,"2014-01-01"
"1613",2015,"Distrito Federal","sep",76,"2015-01-01"
"1614",2016,"Distrito Federal","sep",58,"2016-01-01"
"1615",2017,"Distrito Federal","sep",122,"2017-01-01"
"1616",1998,"Distrito Federal","oct",3,"1998-01-01"
"1617",1999,"Distrito Federal","oct",8,"1999-01-01"
"1618",2000,"Distrito Federal","oct",18,"2000-01-01"
"1619",2001,"Distrito Federal","oct",0,"2001-01-01"
"1620",2002,"Distrito Federal","oct",19,"2002-01-01"
"1621",2003,"Distrito Federal","oct",12,"2003-01-01"
"1622",2004,"Distrito Federal","oct",18,"2004-01-01"
"1623",2005,"Distrito Federal","oct",18,"2005-01-01"
"1624",2006,"Distrito Federal","oct",1,"2006-01-01"
"1625",2007,"Distrito Federal","oct",13,"2007-01-01"
"1626",2008,"Distrito Federal","oct",6,"2008-01-01"
"1627",2009,"Distrito Federal","oct",3,"2009-01-01"
"1628",2010,"Distrito Federal","oct",6,"2010-01-01"
"1629",2011,"Distrito Federal","oct",0,"2011-01-01"
"1630",2012,"Distrito Federal","oct",15,"2012-01-01"
"1631",2013,"Distrito Federal","oct",3,"2013-01-01"
"1632",2014,"Distrito Federal","oct",34,"2014-01-01"
"1633",2015,"Distrito Federal","oct",21,"2015-01-01"
"1634",2016,"Distrito Federal","oct",9,"2016-01-01"
"1635",2017,"Distrito Federal","oct",66,"2017-01-01"
"1636",1998,"Distrito Federal","nov",0,"1998-01-01"
"1637",1999,"Distrito Federal","nov",1,"1999-01-01"
"1638",2000,"Distrito Federal","nov",0,"2000-01-01"
"1639",2001,"Distrito Federal","nov",0,"2001-01-01"
"1640",2002,"Distrito Federal","nov",1,"2002-01-01"
"1641",2003,"Distrito Federal","nov",0,"2003-01-01"
"1642",2004,"Distrito Federal","nov",0,"2004-01-01"
"1643",2005,"Distrito Federal","nov",2,"2005-01-01"
"1644",2006,"Distrito Federal","nov",0,"2006-01-01"
"1645",2007,"Distrito Federal","nov",0,"2007-01-01"
"1646",2008,"Distrito Federal","nov",4,"2008-01-01"
"1647",2009,"Distrito Federal","nov",0,"2009-01-01"
"1648",2010,"Distrito Federal","nov",0,"2010-01-01"
"1649",2011,"Distrito Federal","nov",1,"2011-01-01"
"1650",2012,"Distrito Federal","nov",0,"2012-01-01"
"1651",2013,"Distrito Federal","nov",0,"2013-01-01"
"1652",2014,"Distrito Federal","nov",0,"2014-01-01"
"1653",2015,"Distrito Federal","nov",3,"2015-01-01"
"1654",2016,"Distrito Federal","nov",1,"2016-01-01"
"1655",2017,"Distrito Federal","nov",0,"2017-01-01"
"1656",1998,"Distrito Federal","dec",0,"1998-01-01"
"1657",1999,"Distrito Federal","dec",0,"1999-01-01"
"1658",2000,"Distrito Federal","dec",0,"2000-01-01"
"1659",2001,"Distrito Federal","dec",1,"2001-01-01"
"1660",2002,"Distrito Federal","dec",1,"2002-01-01"
"1661",2003,"Distrito Federal","dec",0,"2003-01-01"
"1662",2004,"Distrito Federal","dec",0,"2004-01-01"
"1663",2005,"Distrito Federal","dec",0,"2005-01-01"
"1664",2006,"Distrito Federal","dec",0,"2006-01-01"
"1665",2007,"Distrito Federal","dec",0,"2007-01-01"
"1666",2008,"Distrito Federal","dec",0,"2008-01-01"
"1667",2009,"Distrito Federal","dec",0,"2009-01-01"
"1668",2010,"Distrito Federal","dec",1,"2010-01-01"
"1669",2011,"Distrito Federal","dec",0,"2011-01-01"
"1670",2012,"Distrito Federal","dec",0,"2012-01-01"
"1671",2013,"Distrito Federal","dec",2,"2013-01-01"
"1672",2014,"Distrito Federal","dec",0,"2014-01-01"
"1673",2015,"Distrito Federal","dec",0,"2015-01-01"
"1674",2016,"Distrito Federal","dec",0,"2016-01-01"
"1675",1998,"Espirito Santo","jan",0,"1998-01-01"
"1676",1999,"Espirito Santo","jan",33,"1999-01-01"
"1677",2000,"Espirito Santo","jan",5,"2000-01-01"
"1678",2001,"Espirito Santo","jan",1,"2001-01-01"
"1679",2002,"Espirito Santo","jan",2,"2002-01-01"
"1680",2003,"Espirito Santo","jan",4,"2003-01-01"
"1681",2004,"Espirito Santo","jan",1,"2004-01-01"
"1682",2005,"Espirito Santo","jan",4,"2005-01-01"
"1683",2006,"Espirito Santo","jan",13,"2006-01-01"
"1684",2007,"Espirito Santo","jan",0,"2007-01-01"
"1685",2008,"Espirito Santo","jan",12,"2008-01-01"
"1686",2009,"Espirito Santo","jan",4,"2009-01-01"
"1687",2010,"Espirito Santo","jan",52,"2010-01-01"
"1688",2011,"Espirito Santo","jan",3,"2011-01-01"
"1689",2012,"Espirito Santo","jan",1,"2012-01-01"
"1690",2013,"Espirito Santo","jan",10,"2013-01-01"
"1691",2014,"Espirito Santo","jan",11,"2014-01-01"
"1692",2015,"Espirito Santo","jan",76,"2015-01-01"
"1693",2016,"Espirito Santo","jan",43,"2016-01-01"
"1694",2017,"Espirito Santo","jan",13,"2017-01-01"
"1695",1998,"Espirito Santo","feb",0,"1998-01-01"
"1696",1999,"Espirito Santo","feb",10,"1999-01-01"
"1697",2000,"Espirito Santo","feb",5,"2000-01-01"
"1698",2001,"Espirito Santo","feb",5,"2001-01-01"
"1699",2002,"Espirito Santo","feb",4,"2002-01-01"
"1700",2003,"Espirito Santo","feb",11,"2003-01-01"
"1701",2004,"Espirito Santo","feb",5,"2004-01-01"
"1702",2005,"Espirito Santo","feb",1,"2005-01-01"
"1703",2006,"Espirito Santo","feb",45,"2006-01-01"
"1704",2007,"Espirito Santo","feb",3,"2007-01-01"
"1705",2008,"Espirito Santo","feb",20,"2008-01-01"
"1706",2009,"Espirito Santo","feb",12,"2009-01-01"
"1707",2010,"Espirito Santo","feb",15,"2010-01-01"
"1708",2011,"Espirito Santo","feb",42,"2011-01-01"
"1709",2012,"Espirito Santo","feb",25,"2012-01-01"
"1710",2013,"Espirito Santo","feb",15,"2013-01-01"
"1711",2014,"Espirito Santo","feb",17,"2014-01-01"
"1712",2015,"Espirito Santo","feb",60,"2015-01-01"
"1713",2016,"Espirito Santo","feb",24,"2016-01-01"
"1714",2017,"Espirito Santo","feb",8,"2017-01-01"
"1715",1998,"Espirito Santo","mar",0,"1998-01-01"
"1716",1999,"Espirito Santo","mar",8,"1999-01-01"
"1717",2000,"Espirito Santo","mar",1,"2000-01-01"
"1718",2001,"Espirito Santo","mar",2,"2001-01-01"
"1719",2002,"Espirito Santo","mar",4,"2002-01-01"
"1720",2003,"Espirito Santo","mar",28,"2003-01-01"
"1721",2004,"Espirito Santo","mar",3,"2004-01-01"
"1722",2005,"Espirito Santo","mar",3,"2005-01-01"
"1723",2006,"Espirito Santo","mar",14,"2006-01-01"
"1724",2007,"Espirito Santo","mar",9,"2007-01-01"
"1725",2008,"Espirito Santo","mar",5,"2008-01-01"
"1726",2009,"Espirito Santo","mar",11,"2009-01-01"
"1727",2010,"Espirito Santo","mar",3,"2010-01-01"
"1728",2011,"Espirito Santo","mar",5,"2011-01-01"
"1729",2012,"Espirito Santo","mar",35,"2012-01-01"
"1730",2013,"Espirito Santo","mar",13,"2013-01-01"
"1731",2014,"Espirito Santo","mar",15,"2014-01-01"
"1732",2015,"Espirito Santo","mar",25,"2015-01-01"
"1733",2016,"Espirito Santo","mar",107,"2016-01-01"
"1734",2017,"Espirito Santo","mar",9,"2017-01-01"
"1735",1998,"Espirito Santo","apr",0,"1998-01-01"
"1736",1999,"Espirito Santo","apr",2,"1999-01-01"
"1737",2000,"Espirito Santo","apr",3,"2000-01-01"
"1738",2001,"Espirito Santo","apr",2,"2001-01-01"
"1739",2002,"Espirito Santo","apr",2,"2002-01-01"
"1740",2003,"Espirito Santo","apr",22,"2003-01-01"
"1741",2004,"Espirito Santo","apr",0,"2004-01-01"
"1742",2005,"Espirito Santo","apr",4,"2005-01-01"
"1743",2006,"Espirito Santo","apr",1,"2006-01-01"
"1744",2007,"Espirito Santo","apr",2,"2007-01-01"
"1745",2008,"Espirito Santo","apr",8,"2008-01-01"
"1746",2009,"Espirito Santo","apr",8,"2009-01-01"
"1747",2010,"Espirito Santo","apr",7,"2010-01-01"
"1748",2011,"Espirito Santo","apr",3,"2011-01-01"
"1749",2012,"Espirito Santo","apr",74,"2012-01-01"
"1750",2013,"Espirito Santo","apr",16,"2013-01-01"
"1751",2014,"Espirito Santo","apr",15,"2014-01-01"
"1752",2015,"Espirito Santo","apr",33,"2015-01-01"
"1753",2016,"Espirito Santo","apr",57,"2016-01-01"
"1754",2017,"Espirito Santo","apr",7,"2017-01-01"
"1755",1998,"Espirito Santo","may",0,"1998-01-01"
"1756",1999,"Espirito Santo","may",16,"1999-01-01"
"1757",2000,"Espirito Santo","may",2,"2000-01-01"
"1758",2001,"Espirito Santo","may",8,"2001-01-01"
"1759",2002,"Espirito Santo","may",5,"2002-01-01"
"1760",2003,"Espirito Santo","may",1,"2003-01-01"
"1761",2004,"Espirito Santo","may",0,"2004-01-01"
"1762",2005,"Espirito Santo","may",5,"2005-01-01"
"1763",2006,"Espirito Santo","may",0,"2006-01-01"
"1764",2007,"Espirito Santo","may",1,"2007-01-01"
"1765",2008,"Espirito Santo","may",2,"2008-01-01"
"1766",2009,"Espirito Santo","may",7,"2009-01-01"
"1767",2010,"Espirito Santo","may",3,"2010-01-01"
"1768",2011,"Espirito Santo","may",2,"2011-01-01"
"1769",2012,"Espirito Santo","may",20,"2012-01-01"
"1770",2013,"Espirito Santo","may",14,"2013-01-01"
"1771",2014,"Espirito Santo","may",18,"2014-01-01"
"1772",2015,"Espirito Santo","may",17,"2015-01-01"
"1773",2016,"Espirito Santo","may",48,"2016-01-01"
"1774",2017,"Espirito Santo","may",10,"2017-01-01"
"1775",1998,"Espirito Santo","jun",6,"1998-01-01"
"1776",1999,"Espirito Santo","jun",6,"1999-01-01"
"1777",2000,"Espirito Santo","jun",9,"2000-01-01"
"1778",2001,"Espirito Santo","jun",9,"2001-01-01"
"1779",2002,"Espirito Santo","jun",18,"2002-01-01"
"1780",2003,"Espirito Santo","jun",19,"2003-01-01"
"1781",2004,"Espirito Santo","jun",3,"2004-01-01"
"1782",2005,"Espirito Santo","jun",8,"2005-01-01"
"1783",2006,"Espirito Santo","jun",5,"2006-01-01"
"1784",2007,"Espirito Santo","jun",4,"2007-01-01"
"1785",2008,"Espirito Santo","jun",4,"2008-01-01"
"1786",2009,"Espirito Santo","jun",12,"2009-01-01"
"1787",2010,"Espirito Santo","jun",3,"2010-01-01"
"1788",2011,"Espirito Santo","jun",7,"2011-01-01"
"1789",2012,"Espirito Santo","jun",15,"2012-01-01"
"1790",2013,"Espirito Santo","jun",22,"2013-01-01"
"1791",2014,"Espirito Santo","jun",9,"2014-01-01"
"1792",2015,"Espirito Santo","jun",18,"2015-01-01"
"1793",2016,"Espirito Santo","jun",49,"2016-01-01"
"1794",2017,"Espirito Santo","jun",37,"2017-01-01"
"1795",1998,"Espirito Santo","jul",37,"1998-01-01"
"1796",1999,"Espirito Santo","jul",9,"1999-01-01"
"1797",2000,"Espirito Santo","jul",16,"2000-01-01"
"1798",2001,"Espirito Santo","jul",12,"2001-01-01"
"1799",2002,"Espirito Santo","jul",9,"2002-01-01"
"1800",2003,"Espirito Santo","jul",27,"2003-01-01"
"1801",2004,"Espirito Santo","jul",4,"2004-01-01"
"1802",2005,"Espirito Santo","jul",9,"2005-01-01"
"1803",2006,"Espirito Santo","jul",11,"2006-01-01"
"1804",2007,"Espirito Santo","jul",13,"2007-01-01"
"1805",2008,"Espirito Santo","jul",5,"2008-01-01"
"1806",2009,"Espirito Santo","jul",25,"2009-01-01"
"1807",2010,"Espirito Santo","jul",5,"2010-01-01"
"1808",2011,"Espirito Santo","jul",18,"2011-01-01"
"1809",2012,"Espirito Santo","jul",35,"2012-01-01"
"1810",2013,"Espirito Santo","jul",20,"2013-01-01"
"1811",2014,"Espirito Santo","jul",17,"2014-01-01"
"1812",2015,"Espirito Santo","jul",30,"2015-01-01"
"1813",2016,"Espirito Santo","jul",42,"2016-01-01"
"1814",2017,"Espirito Santo","jul",3,"2017-01-01"
"1815",1998,"Espirito Santo","aug",38,"1998-01-01"
"1816",1999,"Espirito Santo","aug",60,"1999-01-01"
"1817",2000,"Espirito Santo","aug",26,"2000-01-01"
"1818",2001,"Espirito Santo","aug",30,"2001-01-01"
"1819",2002,"Espirito Santo","aug",60,"2002-01-01"
"1820",2003,"Espirito Santo","aug",118,"2003-01-01"
"1821",2004,"Espirito Santo","aug",12,"2004-01-01"
"1822",2005,"Espirito Santo","aug",12,"2005-01-01"
"1823",2006,"Espirito Santo","aug",29,"2006-01-01"
"1824",2007,"Espirito Santo","aug",82,"2007-01-01"
"1825",2008,"Espirito Santo","aug",13,"2008-01-01"
"1826",2009,"Espirito Santo","aug",17,"2009-01-01"
"1827",2010,"Espirito Santo","aug",39,"2010-01-01"
"1828",2011,"Espirito Santo","aug",93,"2011-01-01"
"1829",2012,"Espirito Santo","aug",12,"2012-01-01"
"1830",2013,"Espirito Santo","aug",53,"2013-01-01"
"1831",2014,"Espirito Santo","aug",47,"2014-01-01"
"1832",2015,"Espirito Santo","aug",35,"2015-01-01"
"1833",2016,"Espirito Santo","aug",78,"2016-01-01"
"1834",2017,"Espirito Santo","aug",30,"2017-01-01"
"1835",1998,"Espirito Santo","sep",108,"1998-01-01"
"1836",1999,"Espirito Santo","sep",64,"1999-01-01"
"1837",2000,"Espirito Santo","sep",14,"2000-01-01"
"1838",2001,"Espirito Santo","sep",38,"2001-01-01"
"1839",2002,"Espirito Santo","sep",46,"2002-01-01"
"1840",2003,"Espirito Santo","sep",252,"2003-01-01"
"1841",2004,"Espirito Santo","sep",47,"2004-01-01"
"1842",2005,"Espirito Santo","sep",8,"2005-01-01"
"1843",2006,"Espirito Santo","sep",87,"2006-01-01"
"1844",2007,"Espirito Santo","sep",63,"2007-01-01"
"1845",2008,"Espirito Santo","sep",78,"2008-01-01"
"1846",2009,"Espirito Santo","sep",57,"2009-01-01"
"1847",2010,"Espirito Santo","sep",53,"2010-01-01"
"1848",2011,"Espirito Santo","sep",108,"2011-01-01"
"1849",2012,"Espirito Santo","sep",48,"2012-01-01"
"1850",2013,"Espirito Santo","sep",30,"2013-01-01"
"1851",2014,"Espirito Santo","sep",61,"2014-01-01"
"1852",2015,"Espirito Santo","sep",228,"2015-01-01"
"1853",2016,"Espirito Santo","sep",128,"2016-01-01"
"1854",2017,"Espirito Santo","sep",58,"2017-01-01"
"1855",1998,"Espirito Santo","oct",20,"1998-01-01"
"1856",1999,"Espirito Santo","oct",23,"1999-01-01"
"1857",2000,"Espirito Santo","oct",88,"2000-01-01"
"1858",2001,"Espirito Santo","oct",19,"2001-01-01"
"1859",2002,"Espirito Santo","oct",113,"2002-01-01"
"1860",2003,"Espirito Santo","oct",159,"2003-01-01"
"1861",2004,"Espirito Santo","oct",48,"2004-01-01"
"1862",2005,"Espirito Santo","oct",62,"2005-01-01"
"1863",2006,"Espirito Santo","oct",10,"2006-01-01"
"1864",2007,"Espirito Santo","oct",79,"2007-01-01"
"1865",2008,"Espirito Santo","oct",100,"2008-01-01"
"1866",2009,"Espirito Santo","oct",13,"2009-01-01"
"1867",2010,"Espirito Santo","oct",32,"2010-01-01"
"1868",2011,"Espirito Santo","oct",38,"2011-01-01"
"1869",2012,"Espirito Santo","oct",62,"2012-01-01"
"1870",2013,"Espirito Santo","oct",37,"2013-01-01"
"1871",2014,"Espirito Santo","oct",89,"2014-01-01"
"1872",2015,"Espirito Santo","oct",307,"2015-01-01"
"1873",2016,"Espirito Santo","oct",58,"2016-01-01"
"1874",2017,"Espirito Santo","oct",56,"2017-01-01"
"1875",1998,"Espirito Santo","nov",4,"1998-01-01"
"1876",1999,"Espirito Santo","nov",9,"1999-01-01"
"1877",2000,"Espirito Santo","nov",3,"2000-01-01"
"1878",2001,"Espirito Santo","nov",3,"2001-01-01"
"1879",2002,"Espirito Santo","nov",22,"2002-01-01"
"1880",2003,"Espirito Santo","nov",49,"2003-01-01"
"1881",2004,"Espirito Santo","nov",42,"2004-01-01"
"1882",2005,"Espirito Santo","nov",0,"2005-01-01"
"1883",2006,"Espirito Santo","nov",0,"2006-01-01"
"1884",2007,"Espirito Santo","nov",112,"2007-01-01"
"1885",2008,"Espirito Santo","nov",3,"2008-01-01"
"1886",2009,"Espirito Santo","nov",18,"2009-01-01"
"1887",2010,"Espirito Santo","nov",3,"2010-01-01"
"1888",2011,"Espirito Santo","nov",6,"2011-01-01"
"1889",2012,"Espirito Santo","nov",7,"2012-01-01"
"1890",2013,"Espirito Santo","nov",11,"2013-01-01"
"1891",2014,"Espirito Santo","nov",20,"2014-01-01"
"1892",2015,"Espirito Santo","nov",141,"2015-01-01"
"1893",2016,"Espirito Santo","nov",8,"2016-01-01"
"1894",2017,"Espirito Santo","nov",3,"2017-01-01"
"1895",1998,"Espirito Santo","dec",5,"1998-01-01"
"1896",1999,"Espirito Santo","dec",0,"1999-01-01"
"1897",2000,"Espirito Santo","dec",3,"2000-01-01"
"1898",2001,"Espirito Santo","dec",1,"2001-01-01"
"1899",2002,"Espirito Santo","dec",12,"2002-01-01"
"1900",2003,"Espirito Santo","dec",18,"2003-01-01"
"1901",2004,"Espirito Santo","dec",9,"2004-01-01"
"1902",2005,"Espirito Santo","dec",5,"2005-01-01"
"1903",2006,"Espirito Santo","dec",0,"2006-01-01"
"1904",2007,"Espirito Santo","dec",14,"2007-01-01"
"1905",2008,"Espirito Santo","dec",1,"2008-01-01"
"1906",2009,"Espirito Santo","dec",32,"2009-01-01"
"1907",2010,"Espirito Santo","dec",10,"2010-01-01"
"1908",2011,"Espirito Santo","dec",1,"2011-01-01"
"1909",2012,"Espirito Santo","dec",18,"2012-01-01"
"1910",2013,"Espirito Santo","dec",9,"2013-01-01"
"1911",2014,"Espirito Santo","dec",28,"2014-01-01"
"1912",2015,"Espirito Santo","dec",61,"2015-01-01"
"1913",2016,"Espirito Santo","dec",12,"2016-01-01"
"1914",1998,"Goias","jan",0,"1998-01-01"
"1915",1999,"Goias","jan",14,"1999-01-01"
"1916",2000,"Goias","jan",10,"2000-01-01"
"1917",2001,"Goias","jan",29,"2001-01-01"
"1918",2002,"Goias","jan",12,"2002-01-01"
"1919",2003,"Goias","jan",14,"2003-01-01"
"1920",2004,"Goias","jan",10,"2004-01-01"
"1921",2005,"Goias","jan",27,"2005-01-01"
"1922",2006,"Goias","jan",85,"2006-01-01"
"1923",2007,"Goias","jan",28,"2007-01-01"
"1924",2008,"Goias","jan",23,"2008-01-01"
"1925",2009,"Goias","jan",30,"2009-01-01"
"1926",2010,"Goias","jan",59,"2010-01-01"
"1927",2011,"Goias","jan",39,"2011-01-01"
"1928",2012,"Goias","jan",21,"2012-01-01"
"1929",2013,"Goias","jan",33,"2013-01-01"
"1930",2014,"Goias","jan",80,"2014-01-01"
"1931",2015,"Goias","jan",118,"2015-01-01"
"1932",2016,"Goias","jan",52,"2016-01-01"
"1933",2017,"Goias","jan",53,"2017-01-01"
"1934",1998,"Goias","feb",0,"1998-01-01"
"1935",1999,"Goias","feb",334,"1999-01-01"
"1936",2000,"Goias","feb",11,"2000-01-01"
"1937",2001,"Goias","feb",9,"2001-01-01"
"1938",2002,"Goias","feb",9,"2002-01-01"
"1939",2003,"Goias","feb",47,"2003-01-01"
"1940",2004,"Goias","feb",11,"2004-01-01"
"1941",2005,"Goias","feb",84,"2005-01-01"
"1942",2006,"Goias","feb",21,"2006-01-01"
"1943",2007,"Goias","feb",13,"2007-01-01"
"1944",2008,"Goias","feb",25,"2008-01-01"
"1945",2009,"Goias","feb",29,"2009-01-01"
"1946",2010,"Goias","feb",86,"2010-01-01"
"1947",2011,"Goias","feb",45,"2011-01-01"
"1948",2012,"Goias","feb",37,"2012-01-01"
"1949",2013,"Goias","feb",86,"2013-01-01"
"1950",2014,"Goias","feb",44,"2014-01-01"
"1951",2015,"Goias","feb",53,"2015-01-01"
"1952",2016,"Goias","feb",117,"2016-01-01"
"1953",2017,"Goias","feb",75,"2017-01-01"
"1954",1998,"Goias","mar",0,"1998-01-01"
"1955",1999,"Goias","mar",1,"1999-01-01"
"1956",2000,"Goias","mar",4,"2000-01-01"
"1957",2001,"Goias","mar",10,"2001-01-01"
"1958",2002,"Goias","mar",48,"2002-01-01"
"1959",2003,"Goias","mar",29,"2003-01-01"
"1960",2004,"Goias","mar",36,"2004-01-01"
"1961",2005,"Goias","mar",36,"2005-01-01"
"1962",2006,"Goias","mar",29,"2006-01-01"
"1963",2007,"Goias","mar",49,"2007-01-01"
"1964",2008,"Goias","mar",20,"2008-01-01"
"1965",2009,"Goias","mar",32,"2009-01-01"
"1966",2010,"Goias","mar",65,"2010-01-01"
"1967",2011,"Goias","mar",19,"2011-01-01"
"1968",2012,"Goias","mar",57,"2012-01-01"
"1969",2013,"Goias","mar",79,"2013-01-01"
"1970",2014,"Goias","mar",80,"2014-01-01"
"1971",2015,"Goias","mar",76,"2015-01-01"
"1972",2016,"Goias","mar",136,"2016-01-01"
"1973",2017,"Goias","mar",115,"2017-01-01"
"1974",1998,"Goias","apr",0,"1998-01-01"
"1975",1999,"Goias","apr",25,"1999-01-01"
"1976",2000,"Goias","apr",16,"2000-01-01"
"1977",2001,"Goias","apr",49,"2001-01-01"
"1978",2002,"Goias","apr",78,"2002-01-01"
"1979",2003,"Goias","apr",87,"2003-01-01"
"1980",2004,"Goias","apr",32,"2004-01-01"
"1981",2005,"Goias","apr",55,"2005-01-01"
"1982",2006,"Goias","apr",22,"2006-01-01"
"1983",2007,"Goias","apr",17,"2007-01-01"
"1984",2008,"Goias","apr",36,"2008-01-01"
"1985",2009,"Goias","apr",11,"2009-01-01"
"1986",2010,"Goias","apr",105,"2010-01-01"
"1987",2011,"Goias","apr",71,"2011-01-01"
"1988",2012,"Goias","apr",89,"2012-01-01"
"1989",2013,"Goias","apr",42,"2013-01-01"
"1990",2014,"Goias","apr",138,"2014-01-01"
"1991",2015,"Goias","apr",89,"2015-01-01"
"1992",2016,"Goias","apr",167,"2016-01-01"
"1993",2017,"Goias","apr",60,"2017-01-01"
"1994",1998,"Goias","may",0,"1998-01-01"
"1995",1999,"Goias","may",99,"1999-01-01"
"1996",2000,"Goias","may",58,"2000-01-01"
"1997",2001,"Goias","may",85,"2001-01-01"
"1998",2002,"Goias","may",171,"2002-01-01"
"1999",2003,"Goias","may",57,"2003-01-01"
"2000",2004,"Goias","may",157,"2004-01-01"
"2001",2005,"Goias","may",164,"2005-01-01"
"2002",2006,"Goias","may",33,"2006-01-01"
"2003",2007,"Goias","may",94,"2007-01-01"
"2004",2008,"Goias","may",41,"2008-01-01"
"2005",2009,"Goias","may",104,"2009-01-01"
"2006",2010,"Goias","may",239,"2010-01-01"
"2007",2011,"Goias","may",136,"2011-01-01"
"2008",2012,"Goias","may",103,"2012-01-01"
"2009",2013,"Goias","may",150,"2013-01-01"
"2010",2014,"Goias","may",210,"2014-01-01"
"2011",2015,"Goias","may",129,"2015-01-01"
"2012",2016,"Goias","may",233,"2016-01-01"
"2013",2017,"Goias","may",135,"2017-01-01"
"2014",1998,"Goias","jun",172,"1998-01-01"
"2015",1999,"Goias","jun",250,"1999-01-01"
"2016",2000,"Goias","jun",222,"2000-01-01"
"2017",2001,"Goias","jun",212,"2001-01-01"
"2018",2002,"Goias","jun",302,"2002-01-01"
"2019",2003,"Goias","jun",321,"2003-01-01"
"2020",2004,"Goias","jun",422,"2004-01-01"
"2021",2005,"Goias","jun",189,"2005-01-01"
"2022",2006,"Goias","jun",70,"2006-01-01"
"2023",2007,"Goias","jun",186,"2007-01-01"
"2024",2008,"Goias","jun",55,"2008-01-01"
"2025",2009,"Goias","jun",179,"2009-01-01"
"2026",2010,"Goias","jun",278,"2010-01-01"
"2027",2011,"Goias","jun",314,"2011-01-01"
"2028",2012,"Goias","jun",245,"2012-01-01"
"2029",2013,"Goias","jun",192,"2013-01-01"
"2030",2014,"Goias","jun",318,"2014-01-01"
"2031",2015,"Goias","jun",277,"2015-01-01"
"2032",2016,"Goias","jun",289,"2016-01-01"
"2033",2017,"Goias","jun",442,"2017-01-01"
"2034",1998,"Goias","jul",512,"1998-01-01"
"2035",1999,"Goias","jul",311,"1999-01-01"
"2036",2000,"Goias","jul",332,"2000-01-01"
"2037",2001,"Goias","jul",371,"2001-01-01"
"2038",2002,"Goias","jul",686,"2002-01-01"
"2039",2003,"Goias","jul",322,"2003-01-01"
"2040",2004,"Goias","jul",778,"2004-01-01"
"2041",2005,"Goias","jul",363,"2005-01-01"
"2042",2006,"Goias","jul",169,"2006-01-01"
"2043",2007,"Goias","jul",399,"2007-01-01"
"2044",2008,"Goias","jul",193,"2008-01-01"
"2045",2009,"Goias","jul",470,"2009-01-01"
