"","year","state","month","number","date"
"421",1998,"Alagoas","oct",20,"1998-01-01"
"422",1999,"Alagoas","oct",4,"1999-01-01"
"423",2000,"Alagoas","oct",13,"2000-01-01"
"424",2001,"Alagoas","oct",15,"2001-01-01"
"425",2002,"Alagoas","oct",30,"2002-01-01"
"426",2003,"Alagoas","oct",10,"2003-01-01"
"427",2004,"Alagoas","oct",12,"2004-01-01"
"428",2005,"Alagoas","oct",17,"2005-01-01"
"429",2006,"Alagoas","oct",32,"2006-01-01"
"430",2007,"Alagoas","oct",6,"2007-01-01"
"431",2008,"Alagoas","oct",18,"2008-01-01"
"432",2009,"Alagoas","oct",30,"2009-01-01"
"433",2010,"Alagoas","oct",16,"2010-01-01"
"434",2011,"Alagoas","oct",23,"2011-01-01"
"435",2012,"Alagoas","oct",28,"2012-01-01"
"436",2013,"Alagoas","oct",25,"2013-01-01"
"437",2014,"Alagoas","oct",7,"2014-01-01"
"438",2015,"Alagoas","oct",40,"2015-01-01"
"439",2016,"Alagoas","oct",74,"2016-01-01"
"440",2017,"Alagoas","oct",14,"2017-01-01"
"441",1998,"Alagoas","nov",19,"1998-01-01"
"442",1999,"Alagoas","nov",15,"1999-01-01"
"443",2000,"Alagoas","nov",2,"2000-01-01"
"444",2001,"Alagoas","nov",22,"2001-01-01"
"445",2002,"Alagoas","nov",50,"2002-01-01"
"446",2003,"Alagoas","nov",17,"2003-01-01"
"447",2004,"Alagoas","nov",28,"2004-01-01"
"448",2005,"Alagoas","nov",25,"2005-01-01"
"449",2006,"Alagoas","nov",12,"2006-01-01"
"450",2007,"Alagoas","nov",15,"2007-01-01"
"451",2008,"Alagoas","nov",37,"2008-01-01"
"452",2009,"Alagoas","nov",55,"2009-01-01"
"453",2010,"Alagoas","nov",31,"2010-01-01"
"454",2011,"Alagoas","nov",23,"2011-01-01"
"455",2012,"Alagoas","nov",95,"2012-01-01"
"456",2013,"Alagoas","nov",10,"2013-01-01"
"457",2014,"Alagoas","nov",14,"2014-01-01"
"458",2015,"Alagoas","nov",162,"2015-01-01"
"459",2016,"Alagoas","nov",76,"2016-01-01"
"460",2017,"Alagoas","nov",10,"2017-01-01"
"461",1998,"Alagoas","dec",32,"1998-01-01"
"462",1999,"Alagoas","dec",12,"1999-01-01"
"463",2000,"Alagoas","dec",2,"2000-01-01"
"464",2001,"Alagoas","dec",30,"2001-01-01"
"465",2002,"Alagoas","dec",95,"2002-01-01"
"466",2003,"Alagoas","dec",43,"2003-01-01"
"467",2004,"Alagoas","dec",71,"2004-01-01"
"468",2005,"Alagoas","dec",16,"2005-01-01"
"469",2006,"Alagoas","dec",30,"2006-01-01"
"470",2007,"Alagoas","dec",33,"2007-01-01"
"471",2008,"Alagoas","dec",34,"2008-01-01"
"472",2009,"Alagoas","dec",55,"2009-01-01"
"473",2010,"Alagoas","dec",45,"2010-01-01"
"474",2011,"Alagoas","dec",50,"2011-01-01"
"475",2012,"Alagoas","dec",59,"2012-01-01"
"476",2013,"Alagoas","dec",42,"2013-01-01"
"477",2014,"Alagoas","dec",24,"2014-01-01"
"478",2015,"Alagoas","dec",136,"2015-01-01"
"479",2016,"Alagoas","dec",155,"2016-01-01"
"480",1998,"Amapa","jan",0,"1998-01-01"
"481",1999,"Amapa","jan",0,"1999-01-01"
"482",2000,"Amapa","jan",2,"2000-01-01"
"483",2001,"Amapa","jan",0,"2001-01-01"
"484",2002,"Amapa","jan",7,"2002-01-01"
"485",2003,"Amapa","jan",31,"2003-01-01"
"486",2004,"Amapa","jan",38,"2004-01-01"
"487",2005,"Amapa","jan",109,"2005-01-01"
"488",2006,"Amapa","jan",6,"2006-01-01"
"489",2007,"Amapa","jan",0,"2007-01-01"
"490",2008,"Amapa","jan",2,"2008-01-01"
"491",2009,"Amapa","jan",4,"2009-01-01"
"492",2010,"Amapa","jan",2,"2010-01-01"
"493",2011,"Amapa","jan",0,"2011-01-01"
"494",2012,"Amapa","jan",30,"2012-01-01"
"495",2013,"Amapa","jan",3,"2013-01-01"
"496",2014,"Amapa","jan",10,"2014-01-01"
"497",2015,"Amapa","jan",14,"2015-01-01"
"498",2016,"Amapa","jan",19,"2016-01-01"
"499",2017,"Amapa","jan",2,"2017-01-01"
"500",1998,"Amapa","feb",0,"1998-01-01"
"501",1999,"Amapa","feb",1,"1999-01-01"
"502",2000,"Amapa","feb",0,"2000-01-01"
"503",2001,"Amapa","feb",0,"2001-01-01"
"504",2002,"Amapa","feb",2,"2002-01-01"
"505",2003,"Amapa","feb",0,"2003-01-01"
"506",2004,"Amapa","feb",2,"2004-01-01"
"507",2005,"Amapa","feb",1,"2005-01-01"
"508",2006,"Amapa","feb",2,"2006-01-01"
"509",2007,"Amapa","feb",0,"2007-01-01"
"510",2008,"Amapa","feb",0,"2008-01-01"
"511",2009,"Amapa","feb",0,"2009-01-01"
"512",2010,"Amapa","feb",0,"2010-01-01"
"513",2011,"Amapa","feb",3,"2011-01-01"
"514",2012,"Amapa","feb",5,"2012-01-01"
"515",2013,"Amapa","feb",0,"2013-01-01"
"516",2014,"Amapa","feb",2,"2014-01-01"
"517",2015,"Amapa","feb",1,"2015-01-01"
"518",2016,"Amapa","feb",1,"2016-01-01"
"519",2017,"Amapa","feb",0,"2017-01-01"
"520",1998,"Amapa","mar",0,"1998-01-01"
"521",1999,"Amapa","mar",2,"1999-01-01"
"522",2000,"Amapa","mar",0,"2000-01-01"
"523",2001,"Amapa","mar",0,"2001-01-01"
"524",2002,"Amapa","mar",0,"2002-01-01"
"525",2003,"Amapa","mar",1,"2003-01-01"
"526",2004,"Amapa","mar",0,"2004-01-01"
"527",2005,"Amapa","mar",0,"2005-01-01"
"528",2006,"Amapa","mar",0,"2006-01-01"
"529",2007,"Amapa","mar",0,"2007-01-01"
"530",2008,"Amapa","mar",1,"2008-01-01"
"531",2009,"Amapa","mar",1,"2009-01-01"
"532",2010,"Amapa","mar",2,"2010-01-01"
"533",2011,"Amapa","mar",0,"2011-01-01"
"534",2012,"Amapa","mar",1,"2012-01-01"
"535",2013,"Amapa","mar",0,"2013-01-01"
"536",2014,"Amapa","mar",1,"2014-01-01"
